text,label
"Government announces new education funding",1
"Scientists confirm humans can breathe underwater naturally",0
"Local council opens new public transport route",1
"Secret alien base discovered under London",0
"New medical study shows benefits of regular exercise",1
"Drinking bleach cures all diseases claims viral post",0
"University releases new research findings",1
"Time traveler warns of world ending next week",0
"Donald Trump won the 2020 presidential election",0
"Donald Trump won the 2024 presidential election",1
